0.009842,0.029449,0.049057,0.068664
-0.175895,-0.160751,-0.168152,-0.157776
0.303192,0.314865,0.309181,0.321159
-0.249443,-0.238876,-0.246238,-0.238494
-0.024376,-0.009041,-0.015678,-0.004234
0.241966,0.251884,0.246467,0.257186
-0.319251,-0.30754,-0.315017,-0.307388
0.130005,0.144577,0.138206,0.150604
0.115471,0.124893,0.11898,0.12825
-0.316047,-0.302848,-0.310363,-0.301818
0.249748,0.263595,0.257873,0.270271
-0.038986,-0.029983,-0.036468,-0.027847
-0.239753,-0.225181,-0.232353,-0.222854
0.304183,0.316505,0.311355,0.323333
-0.18795,-0.178222,-0.184898,-0.177383
-0.10334,-0.08831,-0.095291,-0.084495
0.28038,0.291023,0.285949,0.297317
-0.294456,-0.283279,-0.290603,-0.282936
0.054245,0.069466,0.063019,0.074806
0.185547,0.195083,0.189399,0.199585
-0.330657,-0.317764,-0.325431,-0.317382
0.196571,0.211258,0.205116,0.217704
0.040092,0.0494,0.043297,0.052147
-0.286788,-0.27275,-0.280265,-0.271453
0.286674,0.299644,0.294113,0.306472
-0.116844,-0.107078,-0.113792,-0.106048
-0.176201,-0.161056,-0.16838,-0.158195
0.302772,0.314483,0.308952,0.320548
-0.247726,-0.237274,-0.244522,-0.237121
-0.024528,-0.009193,-0.015984,-0.00473
0.241546,0.251655,0.246048,0.256881
-0.321273,-0.309219,-0.316848,-0.309295
0.130653,0.145492,0.139389,0.151558
0.117035,0.126114,0.120468,0.129928
-0.318107,-0.304489,-0.312003,-0.303573
0.250206,0.264091,0.258331,0.270805
-0.039291,-0.030136,-0.036774,-0.027809
-0.23838,-0.223655,-0.230979,-0.221519
0.304107,0.316467,0.311088,0.323448
-0.188369,-0.178337,-0.185432,-0.177841
-0.103988,-0.08873,-0.095596,-0.084915
0.281257,0.292282,0.286521,0.298232
-0.293579,-0.282478,-0.289573,-0.282134
0.054665,0.07,0.063629,0.075302
0.185165,0.194816,0.189361,0.199241
-0.329856,-0.317039,-0.324554,-0.316467
0.196571,0.211143,0.205154,0.217781
0.040855,0.050125,0.04406,0.053062
